"ID","SOURCE","OLD_ID","NAME","COUNTRY","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","NYEARS"
"25079","ENEE","25079","PITOSOLO","HONDURAS",-88.011667,14.775,660,136.192544385,76.4529704345,75.091167586,85.792419305,205.98584856,298.396315335,330.153624285,407.066516695,433.78625233,355.265188945,184.073384545,135.636646425,30
"25080","SERNA","25080","LAErmita","HONDURAS",-87.068056,14.466667,760,22.3028279835,15.24,17.19,57.175,131.58,117.76,86.46,103.29,184.111842615,183.69,60.325,27.545,30
"25081","DGRH","25081","AguaCalienteFM","HONDURAS",-87.290278,14.6775,560,17.925,12.8867935433,12.575,56.32,151.165,193.77,154.495,169.732904045,239.64562707,178.60326888,59.91155253,21.22,30
"25083","ENEE","25083","SANTARITA","HONDURAS",-87.874167,15.194722,60,79.3458401125,50.885604692,42.569761031,51.423676784,121.0000476495,191.48,187.171054575,181.785,213.9,184.245,141.9134584795,91.6508048965,30
"25084","SERNA","25084","Playitas","HONDURAS",-87.701667,14.423611,595,7.2055979825,5.59585728655,15.014135824,33.070629727,118.885,157.505,88.910530006,130.8309355415,180.651536913,135.4424702625,29.9242749045,12.7179232245,30
"25085","ENEE","25085","SANTAELENA","HONDURAS",-87.920833,14.892778,640,100.01,64.545,64.825,74.925,251.295,377.86,336.335,406.435,479.549815775,354.815,160.8409233585,105.845,30
"25086","ENEE","25086","ELCAJON","HONDURAS",-87.739722,14.976111,300,43.8810923735,18.325264277,17.825296336,46.1225529765,139.9372060515,240.91802076,227.91503126,234.089790765,277.280010515,186.095677985,92.6714946,40.8091162025,30
"25087","ENEE","25087","SANJERÓNIMO","HONDURAS",-87.604167,14.625833,440,28.051547806,17.555144307,15.442892104,59.47,185.582987585,185.297621595,179.083899075,225.021435375,317.46793555,231.241947965,72.1497114465,30.8020881205,30
"25088","SERNA","25088","SanNicolas","HONDURAS",-87.341667,14.714167,600,23.340939655,12.8637965065,11.736342333,47.275304492,156.5993611365,206.528113125,161.44274505,186.7615557905,238.332671195,191.970391705,58.9716880225,19.8078139545,30
"25095","SERNA","25095","LaLaguna","HONDURAS",-87.756111,14.416667,1180,31.7596363095,22.6908520325,30.3362274105,39.5276288945,108.91866609,155.18911132,140.002356116,172.26808833,210.00140287,177.552676075,70.0215944595,28.250767404,30
"25096","SERNA","25096","PortillodelaMora","HONDURAS",-87.767222,14.418056,1380,39.9684391985,21.2513137085,30.2123911355,51.155834327,183.67548004,257.763541115,166.39835901,206.81393453,277.44043103,229.2149464765,89.788724026,47.7906325645,30
"25103","ENEE","25103","SULACO","HONDURAS",-87.265,14.91,410,13.085,10.38,13.13,33.415,127.78,147.89,126.127358435,140.26,176.86,146.645,36.13,13.595,30
"25104","ENEE","25104","VALLECILLO","HONDURAS",-87.395833,14.5175,107,42.985,28.335,25.185,88.875,210.745,233.67,217.46,229.475,291.88,275.41,88.72,45.955,30
"25105","ENEE","25105","ESQUIAS","HONDURAS",-87.369444,14.741389,660,19.1463862655,12.4475597905,15.450229503,52.97,156.62,206.775,172.965,210.8025087,227.968758935,184.315,67.3400526775,21.385,30
"25106","ENEE","25106","SANIGNACIO","HONDURAS",-87.040556,14.656389,700,18.425,10.8118456195,14.67,54.5738937025,140.038204665,116.21,99.9053757795,125.854421444,184.4130241785,192.3703977725,60.895213295,20.491643375,30
"25114","ENEE","25114","ULAPA","HONDURAS",-88.604444,14.973056,330,20.1969403715,11.7013945895,10.635,33.725,129.635,282.05,212.55,229.278520905,247.037366525,159.806034303,55.9046651595,34.957018928,30
